Month	Revenue	OperatingExpense	Payroll	AccountsReceivable	AccountsPayable	NetCashFlow
45	1459000000	356000000	344000000	76000000	238000000	877000000
46	1020000000	776000000	443000000	216000000	164000000	-206000000
47	1712000000	572000000	374000000	338000000	216000000	587000000
48	1732000000	813000000	444000000	190000000	212000000	389000000
49	1173000000	426000000	160000000	269000000	294000000	679000000
50	1070000000	788000000	423000000	71000000	280000000	86000000
51	1089000000	633000000	339000000	163000000	56000000	8000000
52	1832000000	595000000	447000000	57000000	204000000	1003000000
53	1591000000	533000000	182000000	179000000	185000000	805000000
54	1652000000	666000000	367000000	72000000	46000000	600000000
55	1137000000	502000000	173000000	187000000	124000000	474000000
56	1887000000	498000000	305000000	305000000	279000000	995000000
57	1378000000	840000000	197000000	102000000	266000000	541000000
58	1916000000	870000000	293000000	149000000	74000000	720000000
59	1603000000	716000000	379000000	106000000	70000000	497000000
60	1686000000	746000000	414000000	232000000	118000000	418000000
61	1075000000	499000000	258000000	173000000	59000000	146000000
62	1226000000	375000000	356000000	63000000	45000000	462000000
63	1459000000	860000000	165000000	71000000	166000000	596000000
64	1692000000	598000000	245000000	205000000	97000000	693000000
65	1465000000	517000000	413000000	63000000	225000000	778000000
66	1113000000	777000000	265000000	262000000	153000000	-28000000
67	1690000000	700000000	436000000	146000000	239000000	546000000
68	1817000000	343000000	296000000	121000000	283000000	1407000000
69	1018000000	429000000	212000000	285000000	220000000	333000000
70	835000000	755000000	416000000	230000000	187000000	-407000000
71	1236000000	699000000	174000000	104000000	300000000	651000000
72	994000000	632000000	192000000	155000000	236000000	177000000
73	1657000000	429000000	393000000	121000000	42000000	677000000
74	976000000	638000000	166000000	100000000	114000000	122000000
75	1737000000	740000000	252000000	257000000	70000000	452000000
76	1110000000	417000000	386000000	96000000	108000000	370000000
77	884000000	667000000	375000000	155000000	162000000	-211000000
78	1683000000	649000000	223000000	95000000	44000000	714000000
79	1470000000	710000000	326000000	167000000	71000000	232000000
80	1926000000	366000000	206000000	177000000	187000000	1304000000
81	1056000000	870000000	150000000	328000000	174000000	-4000000
82	1661000000	868000000	338000000	239000000	106000000	418000000
83	1653000000	334000000	298000000	229000000	200000000	1048000000
84	806000000	658000000	409000000	51000000	190000000	-222000000
85	1575000000	488000000	316000000	277000000	93000000	654000000
86	1893000000	503000000	354000000	86000000	138000000	1020000000
87	1533000000	737000000	396000000	195000000	123000000	307000000
88	854000000	566000000	165000000	132000000	138000000	102000000
89	1176000000	403000000	219000000	101000000	178000000	542000000
90	950000000	669000000	179000000	180000000	224000000	59000000
91	1316000000	720000000	197000000	183000000	101000000	367000000
92	1895000000	423000000	318000000	196000000	197000000	1147000000
93	1281000000	305000000	197000000	107000000	91000000	881000000
94	1703000000	697000000	333000000	142000000	107000000	617000000
95	800000000	725000000	257000000	172000000	42000000	-226000000
96	1654000000	432000000	192000000	139000000	176000000	1054000000
97	1144000000	699000000	306000000	83000000	52000000	19000000
98	1965000000	703000000	286000000	341000000	67000000	745000000
99	1913000000	492000000	308000000	209000000	213000000	1002000000
100	1097000000	615000000	295000000	152000000	258000000	227000000
101	1818000000	346000000	366000000	83000000	118000000	1064000000
102	896000000	863000000	263000000	82000000	269000000	-15000000
103	1188000000	710000000	441000000	272000000	226000000	-110000000
104	1242000000	391000000	374000000	71000000	199000000	664000000
105	863000000	513000000	168000000	129000000	90000000	205000000
106	903000000	721000000	391000000	246000000	210000000	-196000000
107	1173000000	714000000	369000000	103000000	84000000	-38000000
108	1242000000	455000000	219000000	348000000	194000000	387000000
109	1844000000	730000000	284000000	195000000	250000000	981000000
110	1176000000	846000000	420000000	331000000	86000000	-237000000
111	804000000	894000000	223000000	316000000	91000000	-542000000
112	1304000000	864000000	395000000	65000000	230000000	165000000
113	1753000000	682000000	295000000	325000000	213000000	594000000
114	1146000000	340000000	341000000	76000000	89000000	483000000
115	1562000000	731000000	240000000	103000000	77000000	504000000
116	1975000000	692000000	219000000	309000000	90000000	920000000
117	1799000000	838000000	268000000	318000000	294000000	634000000
118	1445000000	726000000	286000000	222000000	286000000	422000000
119	1281000000	404000000	177000000	314000000	113000000	473000000
120	882000000	443000000	225000000	135000000	244000000	393000000
121	1166000000	871000000	277000000	310000000	133000000	-82000000
122	1795000000	812000000	152000000	290000000	119000000	610000000
123	1517000000	817000000	374000000	165000000	74000000	224000000
124	1767000000	705000000	313000000	74000000	259000000	1035000000
125	1652000000	390000000	317000000	277000000	277000000	828000000
126	1028000000	338000000	330000000	236000000	204000000	407000000
127	1288000000	861000000	437000000	293000000	214000000	-39000000
128	1278000000	333000000	244000000	114000000	269000000	787000000
129	1760000000	738000000	157000000	228000000	104000000	689000000
130	1530000000	857000000	309000000	86000000	217000000	427000000
131	896000000	420000000	435000000	115000000	45000000	4000000
132	1795000000	827000000	365000000	254000000	295000000	540000000
133	1185000000	487000000	328000000	167000000	208000000	469000000
134	1649000000	800000000	209000000	252000000	77000000	436000000
135	1843000000	684000000	202000000	150000000	171000000	880000000
136	1047000000	677000000	239000000	147000000	82000000	167000000
137	933000000	732000000	379000000	273000000	269000000	-120000000
138	882000000	724000000	176000000	98000000	193000000	86000000
139	1604000000	685000000	320000000	238000000	218000000	475000000
140	1482000000	489000000	211000000	63000000	267000000	966000000
141	1824000000	629000000	166000000	154000000	186000000	1021000000
142	1387000000	455000000	313000000	291000000	224000000	489000000
143	1894000000	335000000	391000000	129000000	146000000	1149000000
144	1293000000	787000000	435000000	163000000	199000000	220000000
145	1133000000	501000000	387000000	296000000	209000000	159000000
146	1715000000	774000000	288000000	273000000	190000000	470000000
147	1606000000	777000000	200000000	214000000	235000000	674000000
148	1954000000	843000000	216000000	169000000	69000000	716000000
149	1652000000	821000000	377000000	189000000	160000000	503000000
150	1395000000	479000000	416000000	171000000	253000000	668000000
151	969000000	897000000	347000000	330000000	72000000	-559000000
152	1753000000	438000000	236000000	226000000	105000000	873000000
153	1423000000	725000000	229000000	132000000	272000000	557000000
154	1275000000	500000000	301000000	147000000	65000000	464000000
155	1433000000	496000000	379000000	63000000	132000000	547000000
156	1482000000	465000000	316000000	70000000	91000000	664000000
157	884000000	655000000	260000000	92000000	129000000	119000000
158	1745000000	745000000	238000000	98000000	65000000	764000000
159	1285000000	404000000	362000000	129000000	161000000	603000000
160	1428000000	474000000	380000000	115000000	228000000	755000000
161	1618000000	323000000	399000000	209000000	261000000	938000000
162	1127000000	883000000	223000000	148000000	157000000	-14000000
163	1703000000	817000000	224000000	350000000	141000000	373000000
164	1884000000	472000000	268000000	305000000	100000000	843000000
165	1419000000	481000000	158000000	305000000	247000000	661000000
166	1931000000	537000000	371000000	89000000	177000000	1055000000
167	1950000000	604000000	286000000	170000000	117000000	1045000000
168	1218000000	494000000	154000000	96000000	249000000	734000000
169	1419000000	799000000	186000000	144000000	278000000	530000000
170	1833000000	373000000	373000000	328000000	198000000	861000000
171	1723000000	324000000	222000000	185000000	211000000	1115000000
172	1703000000	778000000	304000000	109000000	293000000	807000000
173	1518000000	681000000	213000000	168000000	223000000	795000000
174	1321000000	573000000	443000000	319000000	87000000	-21000000
175	818000000	655000000	341000000	280000000	269000000	-210000000
176	1108000000	482000000	273000000	141000000	210000000	354000000
177	1727000000	447000000	430000000	174000000	259000000	910000000
178	1573000000	464000000	282000000	343000000	227000000	804000000
179	1609000000	847000000	371000000	52000000	158000000	498000000
180	1261000000	535000000	229000000	226000000	267000000	624000000
181	1456000000	303000000	388000000	222000000	272000000	866000000
182	910000000	543000000	161000000	182000000	108000000	217000000
183	1354000000	486000000	401000000	143000000	121000000	386000000
184	1886000000	428000000	238000000	191000000	245000000	1294000000
185	1771000000	357000000	345000000	338000000	254000000	931000000
186	1465000000	438000000	188000000	168000000	264000000	981000000
187	1418000000	394000000	337000000	135000000	253000000	756000000
188	1736000000	856000000	396000000	70000000	68000000	423000000
189	1103000000	775000000	369000000	167000000	92000000	-104000000
190	1812000000	341000000	341000000	117000000	138000000	1087000000
191	840000000	367000000	187000000	311000000	298000000	275000000
192	1900000000	808000000	299000000	148000000	206000000	935000000
193	1603000000	503000000	414000000	159000000	138000000	553000000
194	1858000000	498000000	303000000	193000000	280000000	1097000000
195	1080000000	851000000	350000000	214000000	104000000	-288000000
196	1112000000	378000000	340000000	169000000	226000000	358000000
197	1697000000	357000000	160000000	239000000	61000000	1047000000
198	1600000000	647000000	204000000	137000000	140000000	842000000
199	1420000000	721000000	275000000	276000000	198000000	277000000
200	1477000000	588000000	396000000	348000000	170000000	428000000
201	1794000000	677000000	410000000	349000000	227000000	505000000
202	1736000000	808000000	418000000	83000000	108000000	451000000
203	1690000000	350000000	334000000	251000000	292000000	1091000000
204	1232000000	514000000	318000000	62000000	147000000	531000000
205	1267000000	475000000	215000000	184000000	166000000	550000000
206	1080000000	896000000	413000000	245000000	233000000	-170000000
207	1189000000	305000000	182000000	166000000	121000000	600000000
208	910000000	810000000	324000000	222000000	144000000	-250000000
209	1602000000	706000000	437000000	83000000	199000000	621000000
210	1578000000	485000000	444000000	266000000	129000000	475000000
211	1261000000	666000000	424000000	348000000	59000000	-191000000
212	1695000000	649000000	384000000	106000000	49000000	612000000
213	837000000	358000000	355000000	82000000	123000000	228000000
214	995000000	435000000	321000000	147000000	170000000	203000000
215	1188000000	552000000	376000000	61000000	58000000	154000000
216	1838000000	522000000	394000000	218000000	110000000	871000000
217	1137000000	809000000	395000000	347000000	161000000	-344000000
218	1665000000	411000000	386000000	82000000	219000000	1101000000
219	948000000	446000000	380000000	349000000	158000000	21000000
220	1938000000	443000000	277000000	164000000	165000000	1141000000
221	974000000	572000000	306000000	98000000	163000000	101000000
222	808000000	563000000	340000000	235000000	99000000	-290000000
223	1852000000	619000000	157000000	82000000	183000000	1077000000
224	1865000000	828000000	352000000	175000000	228000000	835000000
225	1484000000	777000000	257000000	334000000	263000000	383000000
226	879000000	375000000	178000000	105000000	91000000	422000000
227	1769000000	700000000	250000000	317000000	45000000	661000000
228	1925000000	508000000	327000000	128000000	106000000	1126000000
229	1961000000	467000000	446000000	204000000	172000000	912000000
230	1715000000	318000000	196000000	190000000	296000000	1206000000
231	1336000000	720000000	387000000	223000000	102000000	20000000
232	1751000000	441000000	424000000	208000000	206000000	990000000
233	1819000000	889000000	297000000	136000000	141000000	717000000
234	1259000000	765000000	311000000	86000000	87000000	184000000
235	1308000000	756000000	352000000	170000000	239000000	228000000
236	1460000000	849000000	423000000	193000000	49000000	109000000
237	1880000000	410000000	374000000	115000000	111000000	1094000000
238	1677000000	442000000	386000000	112000000	180000000	832000000
239	1307000000	387000000	200000000	349000000	184000000	521000000
240	1080000000	623000000	373000000	201000000	80000000	-94000000
241	1961000000	355000000	418000000	251000000	229000000	1154000000
242	871000000	568000000	264000000	200000000	276000000	166000000
243	1908000000	520000000	383000000	86000000	147000000	1001000000
244	1145000000	824000000	303000000	117000000	200000000	28000000
245	1380000000	382000000	356000000	232000000	160000000	557000000
246	1719000000	462000000	153000000	198000000	297000000	1241000000
247	815000000	527000000	374000000	273000000	127000000	-144000000
248	1406000000	619000000	303000000	78000000	160000000	672000000
249	1705000000	531000000	150000000	70000000	226000000	1135000000
250	1091000000	733000000	444000000	82000000	139000000	46000000
251	1741000000	472000000	161000000	332000000	115000000	802000000
252	1097000000	482000000	433000000	330000000	43000000	-210000000
253	984000000	548000000	388000000	295000000	223000000	-98000000
254	1663000000	798000000	198000000	62000000	171000000	710000000
255	1585000000	651000000	408000000	345000000	49000000	247000000
256	1172000000	477000000	252000000	199000000	131000000	382000000
257	838000000	712000000	221000000	210000000	294000000	69000000
258	1900000000	770000000	294000000	122000000	97000000	887000000
259	1262000000	898000000	391000000	216000000	78000000	-58000000
260	1219000000	680000000	161000000	154000000	192000000	423000000
261	1636000000	336000000	394000000	282000000	153000000	709000000
262	1581000000	423000000	440000000	332000000	232000000	586000000
263	1012000000	494000000	251000000	72000000	152000000	361000000
264	1887000000	506000000	238000000	182000000	251000000	1165000000
265	1183000000	898000000	202000000	52000000	199000000	253000000
266	1333000000	745000000	191000000	57000000	207000000	597000000
267	1602000000	716000000	444000000	228000000	198000000	411000000
268	1812000000	697000000	228000000	142000000	87000000	946000000
269	1684000000	389000000	335000000	155000000	67000000	931000000
270	810000000	716000000	238000000	101000000	153000000	-133000000
271	1549000000	572000000	442000000	133000000	197000000	616000000
272	1145000000	833000000	394000000	331000000	60000000	-396000000
273	1388000000	590000000	349000000	65000000	72000000	474000000
274	922000000	666000000	193000000	182000000	76000000	-25000000
275	1245000000	344000000	422000000	310000000	275000000	456000000
276	891000000	430000000	295000000	185000000	211000000	211000000
277	1650000000	578000000	242000000	335000000	137000000	740000000
278	1240000000	891000000	384000000	260000000	165000000	-246000000
279	1146000000	576000000	362000000	305000000	66000000	-65000000
280	1383000000	832000000	166000000	151000000	286000000	434000000
281	1548000000	664000000	339000000	215000000	226000000	658000000
282	895000000	418000000	449000000	141000000	207000000	39000000
283	1190000000	824000000	321000000	177000000	281000000	102000000
284	1906000000	874000000	442000000	165000000	205000000	685000000
285	1809000000	656000000	367000000	232000000	292000000	851000000
286	915000000	900000000	201000000	244000000	111000000	-303000000
287	1396000000	805000000	185000000	190000000	186000000	312000000
288	1054000000	481000000	402000000	232000000	113000000	104000000
289	1539000000	370000000	259000000	232000000	79000000	748000000
290	1026000000	742000000	177000000	275000000	129000000	-28000000
291	1289000000	361000000	259000000	317000000	121000000	398000000
292	894000000	304000000	430000000	130000000	100000000	72000000
293	1492000000	337000000	425000000	170000000	284000000	931000000
294	1580000000	653000000	244000000	214000000	64000000	448000000
295	1678000000	542000000	415000000	113000000	179000000	823000000
296	932000000	848000000	184000000	59000000	85000000	-105000000
297	1116000000	749000000	418000000	259000000	272000000	-145000000
298	907000000	533000000	183000000	135000000	49000000	205000000
299	1597000000	493000000	257000000	314000000	82000000	721000000
300	1406000000	355000000	355000000	289000000	275000000	685000000
